country,billionairiescountbycountry
United States,743
China,547
India,154
Germany,99
United Kingdom,84
Switzerland,73
Hong Kong,66
Russia,64
Brazil,53
Italy,49
South Korea,43
Canada,43
Taiwan,41
Australia,40
Japan,36
France,33
Singapore,32
Sweden,32
Thailand,26
Indonesia,25
Spain,25
Israel,24
Turkey,23
Philippines,17
Mexico,15
Malaysia,14
Monaco,13
Austria,13
Netherlands,10
Norway,10
United Arab Emirates,9
Denmark,9
Czechia,8
Vietnam,7
Finland,7
Kazakhstan,7
Chile,6
Ukraine,6
Poland,5
Egypt,5
South Africa,5
Cyprus,4
Bahamas,4
Argentina,4
Ireland,4
Belgium,3
Peru,3
Cayman Islands,3
Nigeria,3
New Zealand,3
Romania,3
Uruguay,3
Qatar,2
Hungary,2
Morocco,2
Bermuda,2
Lebanon,2
Slovakia,2
Georgia,1
Turks and Caicos Islands,1
Swaziland,1
Algeria,1
Guernsey,1
Andorra,1
Liechtenstein,1
Nepal,1
Tanzania,1
Greece,1
Oman,1
Colombia,1
British Virgin Islands,1
Bahrain,1
Cambodia,1
Portugal,1
