country,totalbillions
Indonesia,99
Italy,157
Uruguay,6
Oman,2
Sweden,114
United Kingdom,370
Cambodia,3
Ireland,12
Germany,434
Singapore,98
Canada,172
Finland,13
Portugal,5
South Korea,120
Colombia,10
Bermuda,5
Ukraine,10
Cayman Islands,12
Argentina,9
Liechtenstein,2
Greece,1
Egypt,16
Bahamas,37
India,688
Algeria,5
Chile,36
France,450
Slovakia,3
Vietnam,21
Israel,66
South Africa,25
Peru,8
Kazakhstan,22
Malaysia,44
Hong Kong,329
Japan,146
Denmark,57
Philippines,43
United States,4728
Cyprus,9
Turkey,40
Nigeria,28
Switzerland,354
New Zealand,12
Hungary,2
Russia,241
China,2107
Norway,28
Qatar,3
Netherlands,23
Romania,5
Brazil,138
Austria,71
Australia,184
British Virgin Islands,5
Bahrain,2
Spain,116
United Arab Emirates,100
Georgia,5
Morocco,3
Swaziland,5
Belgium,38
Guernsey,2
Monaco,62
Mexico,161
Nepal,2
Tanzania,2
Poland,17
Taiwan,128
Lebanon,6
Turks and Caicos Islands,2
Thailand,92
Czechia,38
Andorra,1
